passo,temp_real,setpoint,acao,recompensa
1,25.12,25.0,2,-0.120000000000001
2,25.11,25.0,2,-0.10999999999999943
3,25.06,25.0,2,-0.05999999999999872
4,25.06,25.0,2,-0.05999999999999872
5,25.08,25.0,2,-0.0799999999999983
6,25.12,25.0,2,-0.120000000000001
7,25.14,25.0,2,-0.14000000000000057
8,25.2,25.0,2,-0.1999999999999993
9,25.3,25.0,2,-0.3000000000000007
10,25.42,25.0,2,-0.4200000000000017
11,25.59,95.0,2,-69.41
12,25.77,95.0,2,-69.23
13,25.98,95.0,2,-69.02
14,26.23,95.0,2,-68.77
15,26.51,95.0,2,-68.49
16,26.81,95.0,2,-68.19
17,27.09,95.0,2,-67.91
18,27.46,95.0,2,-67.53999999999999
19,27.84,95.0,2,-67.16
20,28.21,95.0,2,-66.78999999999999
21,28.59,95.0,2,-66.41
22,29.0,95.0,2,-66.0
23,29.41,95.0,2,-65.59
24,29.85,95.0,2,-65.15
25,30.31,95.0,2,-64.69
26,30.76,95.0,2,-64.24
27,31.26,95.0,2,-63.739999999999995
28,31.75,95.0,2,-63.25
29,32.2,95.0,2,-62.8
30,32.7,95.0,2,-62.3
31,33.2,55.0,2,-21.799999999999997
32,33.72,55.0,2,-21.28
33,34.24,55.0,2,-20.759999999999998
34,34.76,55.0,2,-20.240000000000002
35,35.26,55.0,2,-19.740000000000002
36,35.8,55.0,2,-19.200000000000003
37,36.33,55.0,2,-18.67
38,36.84,55.0,2,-18.159999999999997
39,37.4,55.0,2,-17.6
40,37.92,55.0,2,-17.08
41,38.45,55.0,2,-16.549999999999997
42,39.0,55.0,2,-16.0
43,39.55,55.0,2,-15.450000000000003
44,40.09,55.0,2,-14.909999999999997
45,40.64,55.0,2,-14.36
46,41.17,55.0,2,-13.829999999999998
47,41.71,55.0,2,-13.29
48,42.28,55.0,2,-12.719999999999999
49,42.83,55.0,2,-12.170000000000002
50,43.34,55.0,2,-11.659999999999997
51,43.9,72.0,2,-28.1
52,44.45,72.0,2,-27.549999999999997
53,44.95,72.0,2,-27.049999999999997
54,45.5,72.0,2,-26.5
55,46.08,72.0,2,-25.92
56,46.61,72.0,2,-25.39
57,47.17,72.0,2,-24.83
58,47.7,72.0,2,-24.299999999999997
59,48.21,72.0,2,-23.79
60,48.78,72.0,2,-23.22
61,49.3,72.0,2,-22.700000000000003
62,49.83,72.0,2,-22.17
63,50.36,72.0,2,-21.64
64,50.89,72.0,2,-21.11
65,51.39,72.0,2,-20.61
66,51.92,72.0,2,-20.08
67,52.45,72.0,2,-19.549999999999997
68,52.99,72.0,2,-19.009999999999998
69,53.51,72.0,2,-18.490000000000002
