passo,horario,temp_real,setpoint,acao,recompensa
1,10:28:39,25.0,25.0,0.457,-0.0
2,10:28:40,25.0,25.0,0.457,-0.0
3,10:28:42,25.0,25.0,0.457,-0.0
4,10:28:43,25.0,25.0,0.457,-0.0
5,10:28:44,25.0,25.0,0.457,-0.0
6,10:28:46,25.0,25.0,0.457,-0.0
7,10:28:47,25.0,25.0,0.457,-0.0
8,10:28:49,25.0,25.0,0.457,-0.0
9,10:28:50,25.0,25.0,0.457,-0.0
10,10:28:52,25.0,25.0,0.457,-0.0
11,10:28:53,25.0,25.0,0.457,-0.0
12,10:28:55,25.0,25.0,0.457,-0.0
13,10:28:56,25.0,25.0,0.457,-0.0
14,10:28:58,25.0,25.0,0.457,-0.0
15,10:28:59,25.0,25.0,0.457,-0.0
16,10:29:01,25.0,25.0,0.457,-0.0
17,10:29:02,25.0,25.0,0.457,-0.0
18,10:29:04,25.0,25.0,0.457,-0.0
19,10:29:05,25.0,25.0,0.457,-0.0
20,10:29:07,25.0,25.0,0.457,-0.0
21,10:29:08,25.0,95.0,0.457,-70.0
22,10:29:10,25.0,95.0,1.000,-70.0
23,10:29:11,25.0,95.0,1.000,-70.0
