passo,horario,temp_real,setpoint,acao,recompensa
1,11:43:16,24.65,25.0,0.492,-0.3500000000000014
2,11:43:17,24.67,25.0,0.491,-0.3299999999999983
3,11:43:18,24.65,25.0,0.489,-0.3500000000000014
4,11:43:20,24.64,25.0,0.491,-0.35999999999999943
5,11:43:21,24.66,25.0,0.491,-0.33999999999999986
6,11:43:23,24.69,25.0,0.490,-0.3099999999999987
7,11:43:24,24.65,25.0,0.488,-0.3500000000000014
8,11:43:26,24.65,25.0,0.490,-0.3500000000000014
9,11:43:27,24.64,25.0,0.490,-0.35999999999999943
10,11:43:29,24.69,25.0,0.492,-0.3099999999999987
11,11:43:30,24.69,25.0,0.488,-0.3099999999999987
12,11:43:32,24.7,25.0,0.488,-0.3000000000000007
13,11:43:33,24.76,25.0,0.486,-0.23999999999999844
14,11:43:35,24.81,25.0,0.482,-0.19000000000000128
15,11:43:36,24.85,25.0,0.477,-0.14999999999999858
16,11:43:38,24.92,25.0,0.473,-0.0799999999999983
17,11:43:39,25.04,25.0,0.467,-0.03999999999999915
18,11:43:41,25.11,25.0,0.457,-0.10999999999999943
19,11:43:42,25.27,25.0,0.450,-0.2699999999999996
20,11:43:44,25.41,25.0,0.436,-0.41000000000000014
21,11:43:45,25.52,95.0,0.423,-69.48
22,11:43:47,25.69,95.0,1.000,-69.31
23,11:43:48,25.86,95.0,1.000,-69.14
24,11:43:50,26.02,95.0,1.000,-68.98
25,11:43:51,26.21,95.0,1.000,-68.78999999999999
26,11:43:53,26.41,95.0,1.000,-68.59
27,11:43:54,26.65,95.0,1.000,-68.35
28,11:43:56,26.85,95.0,1.000,-68.15
29,11:43:57,27.1,95.0,1.000,-67.9
30,11:43:59,27.39,95.0,1.000,-67.61
31,11:44:00,27.67,95.0,1.000,-67.33
32,11:44:02,27.99,95.0,1.000,-67.01
33,11:44:03,28.33,95.0,1.000,-66.67
34,11:44:04,28.65,95.0,1.000,-66.35
35,11:44:06,29.02,95.0,1.000,-65.98
36,11:44:07,29.41,95.0,1.000,-65.59
37,11:44:09,29.85,95.0,1.000,-65.15
38,11:44:10,30.29,95.0,1.000,-64.71000000000001
39,11:44:12,30.71,95.0,1.000,-64.28999999999999
40,11:44:13,31.14,95.0,1.000,-63.86
41,11:44:15,31.64,95.0,1.000,-63.36
42,11:44:16,32.14,95.0,1.000,-62.86
43,11:44:18,32.63,95.0,1.000,-62.37
44,11:44:19,33.08,95.0,1.000,-61.92
45,11:44:21,33.58,95.0,1.000,-61.42
46,11:44:22,34.08,95.0,1.000,-60.92
47,11:44:24,34.58,95.0,1.000,-60.42
48,11:44:25,35.08,95.0,1.000,-59.92
49,11:44:27,35.59,95.0,1.000,-59.41
50,11:44:28,36.14,95.0,1.000,-58.86
51,11:44:30,36.64,95.0,1.000,-58.36
52,11:44:31,37.15,95.0,1.000,-57.85
53,11:44:33,37.7,95.0,1.000,-57.3
54,11:44:34,38.21,95.0,1.000,-56.79
55,11:44:36,38.76,95.0,1.000,-56.24
56,11:44:37,39.28,95.0,1.000,-55.72
57,11:44:39,39.84,95.0,1.000,-55.16
58,11:44:40,40.39,95.0,1.000,-54.61
59,11:44:42,40.92,95.0,1.000,-54.08
60,11:44:43,41.45,95.0,1.000,-53.55
61,11:44:44,41.97,95.0,1.000,-53.03
62,11:44:46,42.49,95.0,1.000,-52.51
63,11:44:47,43.05,95.0,1.000,-51.95
64,11:44:49,43.58,95.0,1.000,-51.42
65,11:44:50,44.11,95.0,1.000,-50.89
66,11:44:52,44.65,95.0,1.000,-50.35
67,11:44:53,45.2,95.0,1.000,-49.8
68,11:44:55,45.71,95.0,1.000,-49.29
69,11:44:56,46.3,95.0,1.000,-48.7
70,11:44:58,46.83,95.0,1.000,-48.17
71,11:44:59,47.36,95.0,1.000,-47.64
72,11:45:01,47.9,95.0,1.000,-47.1
73,11:45:02,48.45,95.0,1.000,-46.55
74,11:45:04,48.96,95.0,1.000,-46.04
75,11:45:05,49.51,95.0,1.000,-45.49
