passo,temp_real,setpoint,acao,recompensa
1,26.25,25.0,0,-1.25
2,26.25,25.0,0,-1.25
3,26.25,25.0,0,-1.25
4,26.25,25.0,0,-1.25
5,26.25,25.0,0,-1.25
6,26.25,25.0,0,-1.25
7,26.25,25.0,0,-1.25
8,26.25,25.0,0,-1.25
9,26.25,25.0,0,-1.25
10,26.25,25.0,0,-1.25
11,26.25,95.0,0,-68.75
12,26.25,95.0,2,-68.75
13,26.25,95.0,2,-68.75
14,26.25,95.0,2,-68.75
15,26.25,95.0,2,-68.75
16,26.25,95.0,2,-68.75
17,26.25,95.0,2,-68.75
18,26.25,95.0,2,-68.75
19,26.25,95.0,2,-68.75
20,26.25,95.0,2,-68.75
21,26.25,95.0,2,-68.75
22,26.25,95.0,2,-68.75
23,26.25,95.0,2,-68.75
24,26.25,95.0,2,-68.75
25,26.25,95.0,2,-68.75
26,26.25,95.0,2,-68.75
27,26.25,95.0,2,-68.75
28,26.25,95.0,2,-68.75
29,26.31,95.0,2,-68.69
30,26.31,95.0,2,-68.69
31,26.25,55.0,2,-28.75
32,26.25,55.0,0,-28.75
33,26.25,55.0,0,-28.75
34,26.25,55.0,0,-28.75
35,26.25,55.0,0,-28.75
36,26.25,55.0,0,-28.75
37,26.25,55.0,0,-28.75
38,26.25,55.0,0,-28.75
39,26.31,55.0,0,-28.69
40,26.31,55.0,0,-28.69
41,26.25,55.0,0,-28.75
42,26.25,55.0,0,-28.75
43,26.25,55.0,0,-28.75
44,26.25,55.0,0,-28.75
45,26.31,55.0,0,-28.69
46,26.31,55.0,0,-28.69
47,26.31,55.0,0,-28.69
48,26.31,55.0,0,-28.69
49,26.25,55.0,0,-28.75
50,26.25,55.0,0,-28.75
51,26.31,72.0,0,-45.69
52,26.31,72.0,2,-45.69
53,26.25,72.0,2,-45.75
54,26.25,72.0,2,-45.75
55,26.25,72.0,2,-45.75
56,26.25,72.0,2,-45.75
57,26.25,72.0,2,-45.75
58,26.25,72.0,2,-45.75
59,26.31,72.0,2,-45.69
60,26.31,72.0,2,-45.69
61,26.31,72.0,2,-45.69
62,26.31,72.0,2,-45.69
63,26.31,72.0,2,-45.69
64,26.31,72.0,2,-45.69
65,26.25,72.0,2,-45.75
66,26.25,72.0,2,-45.75
67,26.25,72.0,2,-45.75
68,26.25,72.0,2,-45.75
69,26.31,72.0,2,-45.69
70,26.31,72.0,2,-45.69
71,26.25,95.0,2,-68.75
72,26.25,95.0,2,-68.75
73,26.31,95.0,2,-68.69
74,26.31,95.0,2,-68.69
75,26.31,95.0,2,-68.69
76,26.31,95.0,2,-68.69
77,26.25,95.0,2,-68.75
78,26.25,95.0,2,-68.75
79,26.31,95.0,2,-68.69
80,26.31,95.0,2,-68.69
81,26.31,95.0,2,-68.69
82,26.31,95.0,2,-68.69
83,26.31,95.0,2,-68.69
84,26.31,95.0,2,-68.69
85,26.31,95.0,2,-68.69
86,26.31,95.0,2,-68.69
87,26.31,95.0,2,-68.69
88,26.31,95.0,2,-68.69
89,26.37,95.0,2,-68.63
90,26.37,95.0,2,-68.63
91,6.5,55.0,2,-48.5
92,26.5,55.0,2,-28.5
93,26.62,55.0,0,-28.38
94,26.62,55.0,0,-28.38
95,26.94,55.0,0,-28.06
96,26.94,55.0,0,-28.06
97,27.06,55.0,0,-27.94
98,27.06,55.0,0,-27.94
99,27.37,55.0,0,-27.63
100,27.37,55.0,0,-27.63
101,27.56,55.0,0,-27.44
102,27.56,55.0,0,-27.44
103,27.75,55.0,0,-27.25
104,27.75,55.0,0,-27.25
105,28.0,55.0,0,-27.0
106,28.0,55.0,0,-27.0
107,28.19,55.0,0,-26.81
108,28.19,55.0,0,-26.81
109,28.37,55.0,0,-26.63
110,28.37,55.0,0,-26.63
111,28.56,72.0,0,-43.44
112,28.56,72.0,2,-43.44
113,28.75,72.0,2,-43.25
114,28.75,72.0,2,-43.25
115,28.94,72.0,2,-43.06
116,28.94,72.0,2,-43.06
117,29.06,72.0,2,-42.94
118,29.06,72.0,2,-42.94
119,29.31,72.0,2,-42.69
120,29.31,72.0,2,-42.69
121,29.44,72.0,2,-42.56
122,29.44,72.0,2,-42.56
123,29.56,72.0,2,-42.44
124,29.56,72.0,2,-42.44
125,29.69,72.0,2,-42.31
126,29.69,72.0,2,-42.31
127,29.87,72.0,2,-42.129999999999995
128,29.87,72.0,2,-42.129999999999995
129,30.0,72.0,2,-42.0
130,30.0,72.0,2,-42.0
