passo,horario,temp_real,setpoint,acao,recompensa
1,09:48:50,29.41,25.0,1,-4.41
2,09:48:52,29.86,25.0,1,-4.859999999999999
3,09:48:53,30.39,25.0,1,-5.390000000000001
4,09:48:55,30.87,25.0,1,-5.870000000000001
5,09:48:56,31.33,25.0,1,-6.329999999999998
6,09:48:58,31.75,25.0,1,-6.75
7,09:48:59,32.15,25.0,1,-7.149999999999999
8,09:49:00,32.51,25.0,1,-7.509999999999998
9,09:49:02,32.83,25.0,1,-7.829999999999998
10,09:49:03,33.17,25.0,1,-8.170000000000002
11,09:49:05,33.47,25.0,1,-8.469999999999999
12,09:49:06,33.72,25.0,1,-8.719999999999999
13,09:49:08,33.97,25.0,1,-8.969999999999999
14,09:49:09,34.22,25.0,1,-9.219999999999999
15,09:49:11,34.44,25.0,1,-9.439999999999998
16,09:49:12,34.65,25.0,1,-9.649999999999999
17,09:49:14,34.84,25.0,1,-9.840000000000003
18,09:49:15,35.0,25.0,1,-10.0
19,09:49:17,35.17,25.0,1,-10.170000000000002
20,09:49:18,35.3,25.0,1,-10.299999999999997
21,09:49:20,35.42,95.0,1,-59.58
22,09:49:21,35.55,95.0,2,-59.45
23,09:49:23,35.67,95.0,2,-59.33
24,09:49:24,35.79,95.0,2,-59.21
25,09:49:26,35.86,95.0,2,-59.14
26,09:49:27,35.95,95.0,2,-59.05
27,09:49:29,36.05,95.0,2,-58.95
28,09:49:30,36.17,95.0,2,-58.83
29,09:49:32,36.3,95.0,2,-58.7
30,09:49:33,36.46,95.0,2,-58.54
31,09:49:35,36.65,95.0,2,-58.35
32,09:49:36,36.85,95.0,2,-58.15
33,09:49:38,37.11,95.0,2,-57.89
34,09:49:39,37.39,95.0,2,-57.61
35,09:49:41,37.7,95.0,2,-57.3
36,09:49:42,37.99,95.0,2,-57.01
37,09:49:43,38.33,95.0,2,-56.67
38,09:49:45,38.65,95.0,2,-56.35
39,09:49:46,39.03,95.0,2,-55.97
40,09:49:48,39.4,95.0,2,-55.6
41,09:49:49,39.78,95.0,2,-55.22
42,09:49:51,40.15,95.0,2,-54.85
43,09:49:52,40.56,95.0,2,-54.44
44,09:49:54,40.97,95.0,2,-54.03
45,09:49:55,41.44,95.0,2,-53.56
46,09:49:57,41.88,95.0,2,-53.12
47,09:49:58,42.29,95.0,2,-52.71
48,09:50:00,42.75,95.0,2,-52.25
49,09:50:01,43.2,95.0,2,-51.8
