passo,horario,temp_real,setpoint,acao,recompensa
1,01:30:36,23.0,25.0,0.28,-2.0
2,01:30:37,23.03,25.0,0.28,-1.97
3,01:30:38,23.01,25.0,0.281,-1.99
4,01:30:39,23.0,25.0,0.28,-2.0
5,01:30:40,23.02,25.0,0.28,-1.98
6,01:30:41,23.03,25.0,0.281,-1.97
7,01:30:42,23.04,25.0,0.28,-1.96
8,01:30:43,23.06,25.0,0.281,-1.94
9,01:30:44,23.08,25.0,0.281,-1.92
10,01:30:45,23.12,25.0,0.281,-1.88
11,01:30:46,23.17,25.0,0.281,-1.83
12,01:30:47,23.21,25.0,0.281,-1.79
13,01:30:48,23.31,25.0,0.281,-1.69
14,01:30:49,23.37,25.0,0.281,-1.63
15,01:30:50,23.43,25.0,0.281,-1.57
16,01:30:51,23.51,25.0,0.282,-1.49
17,01:30:52,23.59,25.0,0.282,-1.41
18,01:30:53,23.69,25.0,0.282,-1.31
19,01:30:54,23.78,25.0,0.282,-1.22
20,01:30:55,23.88,95.0,0.283,-71.12
21,01:30:56,23.97,95.0,0.475,-71.03
22,01:30:57,24.09,95.0,0.475,-70.91
23,01:30:58,24.23,95.0,0.476,-70.77
24,01:30:59,24.33,95.0,0.476,-70.67
25,01:31:00,24.54,95.0,0.476,-70.46
26,01:31:01,24.65,95.0,0.478,-70.35
27,01:31:02,24.8,95.0,0.478,-70.2
28,01:31:03,24.95,95.0,0.478,-70.05
29,01:31:04,25.11,95.0,0.479,-69.89
30,01:31:05,25.26,95.0,0.48,-69.74
31,01:31:06,25.44,95.0,0.48,-69.56
32,01:31:07,25.64,95.0,0.481,-69.36
33,01:31:08,25.78,95.0,0.482,-69.22
34,01:31:09,26.0,95.0,0.482,-69.0
35,01:31:10,26.19,95.0,0.483,-68.81
36,01:31:11,26.39,95.0,0.484,-68.61
37,01:31:12,26.64,95.0,0.485,-68.36
38,01:31:13,26.82,95.0,0.486,-68.18
39,01:31:14,27.03,95.0,0.486,-67.97
40,01:31:15,27.28,95.0,0.487,-67.72
41,01:31:16,27.47,95.0,0.488,-67.53
42,01:31:17,27.72,95.0,0.489,-67.28
43,01:31:18,27.91,95.0,0.49,-67.09
44,01:31:19,28.14,95.0,0.49,-66.86
45,01:31:20,28.41,95.0,0.491,-66.59
46,01:31:21,28.64,95.0,0.493,-66.36
47,01:31:22,28.91,95.0,0.493,-66.09
48,01:31:23,29.12,95.0,0.494,-65.88
49,01:31:24,29.38,95.0,0.495,-65.62
50,01:31:24,29.64,95.0,0.496,-65.36
51,01:31:25,29.87,95.0,0.497,-65.13
52,01:31:26,30.11,95.0,0.498,-64.89
53,01:31:27,30.37,95.0,0.499,-64.63
54,01:31:28,30.62,95.0,0.5,-64.38
55,01:31:29,30.84,95.0,0.501,-64.16
56,01:31:30,31.11,95.0,0.501,-63.89
57,01:31:31,31.41,95.0,0.503,-63.59
58,01:31:32,31.62,95.0,0.504,-63.38
59,01:31:33,31.0,95.0,0.504,-64.0
60,01:31:34,32.13,95.0,0.495,-62.87
61,01:31:35,32.37,95.0,0.506,-62.63
62,01:31:36,32.67,95.0,0.506,-62.33
63,01:31:37,32.91,95.0,0.508,-62.09
64,01:31:38,33.17,95.0,0.509,-61.83
65,01:31:39,33.47,95.0,0.51,-61.53
66,01:31:40,33.72,95.0,0.511,-61.28
67,01:31:41,33.97,95.0,0.512,-61.03
68,01:31:42,34.22,95.0,0.513,-60.78
69,01:31:43,34.47,95.0,0.514,-60.53
70,01:31:44,34.73,95.0,0.515,-60.27
71,01:31:45,35.03,95.0,0.516,-59.97
72,01:31:46,35.28,95.0,0.517,-59.72
73,01:31:47,35.5,95.0,0.518,-59.5
74,01:31:48,35.79,95.0,0.518,-59.21
