passo,horario,temp_real,setpoint,acao,recompensa
1,11:45:24,33.73,25.0,-1.0,-8.73
2,11:45:25,33.69,25.0,-1.0,-8.69
3,11:45:26,33.69,25.0,-1.0,-8.69
4,11:45:27,33.66,25.0,-1.0,-8.66
5,11:45:28,33.61,25.0,-1.0,-8.61
6,11:45:29,33.56,25.0,-1.0,-8.56
7,11:45:30,33.55,25.0,-1.0,-8.55
8,11:45:31,33.51,25.0,-1.0,-8.51
9,11:45:32,33.44,25.0,-1.0,-8.44
10,11:45:33,33.38,25.0,-1.0,-8.38
11,11:45:34,33.32,25.0,-1.0,-8.32
12,11:45:34,33.23,25.0,-1.0,-8.23
13,11:45:35,33.14,25.0,-1.0,-8.14
14,11:45:36,33.04,25.0,-1.0,-8.04
15,11:45:37,32.96,25.0,-1.0,-7.96
16,11:45:38,32.83,25.0,-1.0,-7.83
17,11:45:39,32.71,25.0,-1.0,-7.71
18,11:45:40,32.6,25.0,-1.0,-7.6
19,11:45:41,32.46,25.0,-1.0,-7.46
20,11:45:42,32.35,95.0,0.877,-62.65
21,11:45:43,32.17,95.0,1.0,-62.83
22,11:45:44,32.06,95.0,1.0,-62.94
23,11:45:45,31.94,95.0,1.0,-63.06
24,11:45:46,31.76,95.0,1.0,-63.24
25,11:45:47,31.66,95.0,1.0,-63.34
26,11:45:48,31.56,95.0,1.0,-63.44
27,11:45:49,31.47,95.0,1.0,-63.53
28,11:45:50,31.44,95.0,1.0,-63.56
29,11:45:51,31.44,95.0,1.0,-63.56
30,11:45:52,31.45,95.0,1.0,-63.55
31,11:45:53,31.5,95.0,1.0,-63.5
32,11:45:54,31.56,95.0,1.0,-63.44
33,11:45:55,31.69,95.0,1.0,-63.31
34,11:45:55,31.81,95.0,1.0,-63.19
35,11:45:56,31.94,95.0,1.0,-63.06
36,11:45:57,32.17,95.0,1.0,-62.83
37,11:45:58,32.35,95.0,1.0,-62.65
38,11:45:59,32.57,95.0,1.0,-62.43
39,11:46:00,32.84,95.0,1.0,-62.16
40,11:46:01,33.08,95.0,1.0,-61.92
41,11:46:02,33.42,95.0,1.0,-61.58
42,11:46:03,33.7,95.0,1.0,-61.3
43,11:46:04,34.01,95.0,1.0,-60.99
44,11:46:05,34.36,95.0,1.0,-60.64
45,11:46:06,34.71,95.0,1.0,-60.29
46,11:46:07,35.11,95.0,1.0,-59.89
47,11:46:08,35.46,95.0,1.0,-59.54
48,11:46:09,35.86,95.0,1.0,-59.14
49,11:46:10,36.23,95.0,1.0,-58.77
50,11:46:11,36.71,95.0,1.0,-58.29
51,11:46:12,37.11,95.0,1.0,-57.89
52,11:46:13,37.59,95.0,1.0,-57.41
53,11:46:14,37.98,95.0,1.0,-57.02
54,11:46:15,38.47,95.0,1.0,-56.53
55,11:46:16,38.91,95.0,1.0,-56.09
56,11:46:17,39.41,95.0,1.0,-55.59
57,11:46:18,39.84,95.0,1.0,-55.16
58,11:46:19,40.28,95.0,1.0,-54.72
59,11:46:19,40.83,95.0,1.0,-54.17
60,11:46:20,41.28,95.0,1.0,-53.72
61,11:46:21,41.83,95.0,1.0,-53.17
62,11:46:22,42.34,95.0,1.0,-52.66
63,11:46:23,42.8,95.0,1.0,-52.2
64,11:46:24,43.35,95.0,1.0,-51.65
65,11:46:25,43.83,95.0,1.0,-51.17
66,11:46:26,44.31,95.0,1.0,-50.69
67,11:46:27,44.84,95.0,1.0,-50.16
68,11:46:28,45.31,95.0,1.0,-49.69
69,11:46:29,45.89,95.0,1.0,-49.11
70,11:46:30,46.41,95.0,1.0,-48.59
71,11:46:31,46.89,95.0,1.0,-48.11
72,11:46:32,47.38,95.0,1.0,-47.62
73,11:46:33,47.92,95.0,1.0,-47.08
74,11:46:34,48.44,95.0,1.0,-46.56
75,11:46:35,48.97,95.0,1.0,-46.03
76,11:46:36,49.44,95.0,1.0,-45.56
77,11:46:37,49.99,95.0,1.0,-45.01
78,11:46:38,50.5,95.0,1.0,-44.5
79,11:46:39,50.97,95.0,1.0,-44.03
